Id,IDFANTASYSEASON,WEEK,IDFANTASYSUPPLIER,IDFANTASYPOSITION,IDFANTASYPLAYER,CREATED,CREATED_BY,UPDATED,UPDATED_BY
67,1,1,7,12,13,2022-11-06T11:42:01,JORTRI,2022-11-06T11:42:01,JORTRI
68,1,1,7,13,15,2022-11-06T11:42:01,JORTRI,2022-11-06T11:42:01,JORTRI
69,1,1,7,14,11,2022-11-06T11:42:01,JORTRI,2022-11-06T11:42:01,JORTRI
70,1,1,8,8,21,2022-11-06T11:43:11,JORTRI,2022-11-06T11:43:11,JORTRI
71,1,1,8,9,9,2022-11-06T11:43:11,JORTRI,2022-11-06T11:43:11,JORTRI
72,1,1,8,10,5,2022-11-06T11:43:11,JORTRI,2022-11-06T11:43:11,JORTRI
73,1,1,8,11,13,2022-11-06T11:43:11,JORTRI,2022-11-06T11:43:11,JORTRI
74,1,1,8,12,12,2022-11-06T11:43:11,JORTRI,2022-11-06T11:43:11,JORTRI
75,1,1,8,13,15,2022-11-06T11:43:11,JORTRI,2022-11-06T11:43:11,JORTRI
76,1,1,8,14,11,2022-11-06T11:43:11,JORTRI,2022-11-06T11:43:11,JORTRI
84,1,1,10,8,21,2022-11-06T11:46:21,JORTRI,2022-11-06T11:46:21,JORTRI
85,1,1,10,9,9,2022-11-06T11:46:21,JORTRI,2022-11-06T11:46:21,JORTRI
86,1,1,10,10,5,2022-11-06T11:46:21,JORTRI,2022-11-06T11:46:21,JORTRI
87,1,1,10,11,12,2022-11-06T11:46:21,JORTRI,2022-11-06T11:46:21,JORTRI
88,1,1,10,12,13,2022-11-06T11:46:21,JORTRI,2022-11-06T11:46:21,JORTRI
89,1,1,10,13,15,2022-11-06T11:46:21,JORTRI,2022-11-06T11:46:21,JORTRI
90,1,1,10,14,26,2022-11-06T00:00:00,JORTRI,2022-11-06T11:47:08,JORTRI
149,1,2,9,9,5,2022-11-06T14:11:37,JORTRI,2022-11-06T14:11:37,JORTRI
150,1,2,9,10,9,2022-11-06T14:11:37,JORTRI,2022-11-06T14:11:37,JORTRI
151,1,2,9,11,12,2022-11-06T14:11:37,JORTRI,2022-11-06T14:11:37,JORTRI
152,1,2,9,12,13,2022-11-06T14:11:37,JORTRI,2022-11-06T14:11:37,JORTRI
153,1,2,9,13,15,2022-11-06T14:11:37,JORTRI,2022-11-06T14:11:37,JORTRI
154,1,2,9,14,8,2022-11-06T14:11:37,JORTRI,2022-11-06T14:11:37,JORTRI
155,1,2,10,8,21,2022-11-06T14:12:31,JORTRI,2022-11-06T14:12:31,JORTRI
156,1,2,10,9,5,2022-11-06T14:12:31,JORTRI,2022-11-06T14:12:31,JORTRI
157,1,2,10,10,9,2022-11-06T14:12:31,JORTRI,2022-11-06T14:12:31,JORTRI
158,1,2,10,11,12,2022-11-06T14:12:31,JORTRI,2022-11-06T14:12:31,JORTRI
159,1,2,10,12,13,2022-11-06T14:12:31,JORTRI,2022-11-06T14:12:31,JORTRI
160,1,2,10,13,14,2022-11-06T14:12:31,JORTRI,2022-11-06T14:12:31,JORTRI
161,1,2,10,14,8,2022-11-06T14:12:31,JORTRI,2022-11-06T14:12:31,JORTRI
162,1,3,1,8,21,2022-11-06T16:52:10,JORTRI,2022-11-06T16:52:10,JORTRI
163,1,3,1,9,5,2022-11-06T16:53:14,JORTRI,2022-11-06T16:53:14,JORTRI
164,1,3,1,10,9,2022-11-06T16:53:14,JORTRI,2022-11-06T16:53:14,JORTRI
