Id,IDFANTASYSEASON,WEEK,IDFANTASYSUPPLIER,WINPOINT,CREATED,CREATED_BY,UPDATED,UPDATED_BY
34,1,1,1,5,2022-11-06T12:32:07,JORTRI,2022-11-06T12:32:07,JORTRI
37,1,1,5,5,2022-11-06T12:32:32,JORTRI,2022-11-06T12:32:32,JORTRI
40,1,1,8,5,2022-11-06T12:32:57,JORTRI,2022-11-06T12:32:57,JORTRI
102,1,7,9,10,2022-11-06T18:17:57,JORTRI,2022-11-06T18:17:57,JORTRI
64,1,4,2,5,2022-11-06T17:34:03,JORTRI,2022-11-06T17:34:03,JORTRI
67,1,4,5,10,2022-11-06T17:34:24,JORTRI,2022-11-06T17:34:24,JORTRI
72,1,4,9,0,2022-11-06T17:35:01,JORTRI,2022-11-06T17:35:01,JORTRI
94,1,7,1,10,2022-11-06T18:17:13,JORTRI,2022-11-06T18:17:13,JORTRI
98,1,7,5,10,2022-11-06T18:17:29,JORTRI,2022-11-06T18:17:29,JORTRI
99,1,7,6,0,2022-11-06T18:17:35,JORTRI,2022-11-06T18:17:35,JORTRI
101,1,7,8,5,2022-11-06T18:17:49,JORTRI,2022-11-06T18:17:49,JORTRI
115,1,9,8,10,2022-11-07T09:44:25,JORTRI,2022-11-07T09:44:25,JORTRI
118,1,9,3,5,2022-11-07T09:45:03,JORTRI,2022-11-07T09:45:03,JORTRI
119,1,9,5,5,2022-11-07T09:45:07,JORTRI,2022-11-07T09:45:07,JORTRI
122,1,9,9,5,2022-11-07T09:45:28,JORTRI,2022-11-07T09:45:28,JORTRI
130,1,10,8,5,2022-11-15T07:08:25,JORTRI,2022-11-15T07:08:25,JORTRI
165,1,12,9,0,2022-11-29T08:43:45,JORTRI,2022-11-29T08:43:45,JORTRI
168,1,12,3,5,2022-11-29T08:44:10,JORTRI,2022-11-29T08:44:10,JORTRI
171,1,12,6,5,2022-11-29T08:44:36,JORTRI,2022-11-29T08:44:36,JORTRI
184,1,13,3,10,2022-12-05T13:10:14,JORTRI,2022-12-05T13:10:14,JORTRI
187,1,13,1,10,2022-12-05T13:11:28,JORTRI,2022-12-05T13:11:28,JORTRI
189,1,13,9,10,2022-12-05T13:12:15,JORTRI,2022-12-05T13:12:15,JORTRI
190,1,13,8,10,2022-12-05T13:12:25,JORTRI,2022-12-05T13:12:25,JORTRI
191,1,13,6,5,2022-12-05T13:13:14,JORTRI,2022-12-05T13:13:14,JORTRI
245,1,16,8,5,2022-12-27T13:19:58,JORTRI,2022-12-27T13:19:58,JORTRI
247,1,16,7,5,2022-12-27T13:20:27,JORTRI,2022-12-27T13:20:27,JORTRI
252,1,16,2,0,2022-12-27T13:21:25,JORTRI,2022-12-27T13:21:25,JORTRI
54,1,3,2,0,2022-11-06T17:25:41,JORTRI,2022-11-06T17:25:41,JORTRI
59,1,3,7,0,2022-11-06T17:26:19,JORTRI,2022-11-06T17:26:19,JORTRI
125,1,10,1,10,2022-11-15T07:06:10,JORTRI,2022-11-15T07:06:10,JORTRI
