Id,IDFANTASYSEASON,WEEK,IDFANTASYPLAYER,FANTASYPOINTS,CREATED,CREATED_BY,UPDATED,UPDATED_BY
80,1,7,7,23.8,2022-11-06T18:14:54,JORTRI,2022-11-06T18:14:54,JORTRI
81,1,7,11,12.8,2022-11-06T18:14:54,JORTRI,2022-11-06T18:14:54,JORTRI
82,1,7,13,21.6,2022-11-06T18:14:54,JORTRI,2022-11-06T18:14:54,JORTRI
83,1,7,14,6.1,2022-11-06T18:14:54,JORTRI,2022-11-06T18:14:54,JORTRI
84,1,7,5,28.6,2022-11-06T18:14:54,JORTRI,2022-11-06T18:14:54,JORTRI
85,1,7,15,8.8,2022-11-06T18:15:15,JORTRI,2022-11-06T18:15:15,JORTRI
86,1,7,6,18.9,2022-11-06T18:15:40,JORTRI,2022-11-06T18:15:40,JORTRI
87,1,7,9,11,2022-11-06T18:16:39,JORTRI,2022-11-06T18:16:39,JORTRI
149,1,10,22,7.6,2022-11-15T07:02:58,JORTRI,2022-11-15T07:02:58,JORTRI
150,1,10,8,3,2022-11-15T07:02:58,JORTRI,2022-11-15T07:02:58,JORTRI
151,1,10,9,9.9,2022-11-15T07:03:26,JORTRI,2022-11-15T07:03:26,JORTRI
164,1,11,5,14,2022-11-20T10:45:13,JORTRI,2022-11-20T10:45:13,JORTRI
184,1,12,1,18,2022-11-28T10:45:12,JORTRI,2022-11-28T10:45:12,JORTRI
185,1,12,10,15.2,2022-11-28T10:47:51,JORTRI,2022-11-28T10:47:51,JORTRI
186,1,12,7,20.2,2022-11-28T10:47:51,JORTRI,2022-11-28T10:47:51,JORTRI
187,1,12,12,12.6,2022-11-28T10:47:51,JORTRI,2022-11-28T10:47:51,JORTRI
188,1,12,11,13.5,2022-11-28T10:47:51,JORTRI,2022-11-28T10:47:51,JORTRI
189,1,12,6,.3,2022-11-28T10:47:51,JORTRI,2022-11-28T10:47:51,JORTRI
190,1,12,5,18.9,2022-11-28T10:47:51,JORTRI,2022-11-28T10:47:51,JORTRI
191,1,12,8,10.1,2022-11-28T10:47:51,JORTRI,2022-11-28T10:47:51,JORTRI
192,1,12,49,20.3,2022-11-28T10:47:51,JORTRI,2022-11-28T10:47:51,JORTRI
204,1,13,1,30.04,2022-12-05T13:03:02,JORTRI,2022-12-05T13:03:02,JORTRI
211,1,13,4,19.26,2022-12-05T13:07:12,JORTRI,2022-12-05T13:07:12,JORTRI
212,1,13,6,7.6,2022-12-05T13:07:30,JORTRI,2022-12-05T13:07:30,JORTRI
147,1,10,12,1.7,2022-11-15T07:01:46,JORTRI,2022-11-15T07:01:46,JORTRI
42,1,3,21,39.42,2022-11-06T17:01:55,JORTRI,2022-11-06T17:01:55,JORTRI
43,1,3,5,5.7,2022-11-06T17:03:20,JORTRI,2022-11-06T17:03:20,JORTRI
44,1,3,9,13.1,2022-11-06T17:03:20,JORTRI,2022-11-06T17:03:20,JORTRI
45,1,3,12,19.5,2022-11-06T17:03:20,JORTRI,2022-11-06T17:03:20,JORTRI
46,1,3,11,15.1,2022-11-06T17:03:20,JORTRI,2022-11-06T17:03:20,JORTRI
47,1,3,14,10.5,2022-11-06T17:03:20,JORTRI,2022-11-06T17:03:20,JORTRI
48,1,3,13,8.5,2022-11-06T17:03:20,JORTRI,2022-11-06T17:03:20,JORTRI
70,1,6,21,16.1,2022-11-06T17:59:30,JORTRI,2022-11-06T17:59:30,JORTRI
71,1,6,7,25.1,2022-11-06T18:01:02,JORTRI,2022-11-06T18:01:02,JORTRI
72,1,6,5,7.4,2022-11-06T18:01:02,JORTRI,2022-11-06T18:01:02,JORTRI
73,1,6,12,17.7,2022-11-06T18:01:02,JORTRI,2022-11-06T18:01:02,JORTRI
74,1,6,13,3.7,2022-11-06T18:01:02,JORTRI,2022-11-06T18:01:02,JORTRI
75,1,6,14,14,2022-11-06T18:01:02,JORTRI,2022-11-06T18:01:02,JORTRI
76,1,6,11,16.9,2022-11-06T18:01:02,JORTRI,2022-11-06T18:01:02,JORTRI
77,1,6,27,6.1,2022-11-06T18:01:02,JORTRI,2022-11-06T18:01:02,JORTRI
97,1,1,1,18.22,2022-11-07T09:29:21,JORTRI,2022-11-07T09:29:21,JORTRI
98,1,1,14,11.4,2022-11-07T09:29:21,JORTRI,2022-11-07T09:29:21,JORTRI
110,1,5,1,17.28,2022-11-07T09:34:48,JORTRI,2022-11-07T09:34:48,JORTRI
111,1,5,26,3.3,2022-11-07T09:34:48,JORTRI,2022-11-07T09:34:48,JORTRI
112,1,5,8,0,2022-11-07T09:34:48,JORTRI,2022-11-07T09:34:48,JORTRI
119,1,6,1,32.5,2022-11-07T09:36:40,JORTRI,2022-11-07T09:36:40,JORTRI
120,1,6,6,12.8,2022-11-07T09:36:40,JORTRI,2022-11-07T09:36:40,JORTRI
121,1,6,9,12.9,2022-11-07T09:36:40,JORTRI,2022-11-07T09:36:40,JORTRI
122,1,6,8,0,2022-11-07T09:36:40,JORTRI,2022-11-07T09:36:40,JORTRI
123,1,6,15,0,2022-11-07T09:36:40,JORTRI,2022-11-07T09:36:40,JORTRI
124,1,7,8,0,2022-11-07T09:38:11,JORTRI,2022-11-07T09:38:11,JORTRI
125,1,7,12,0,2022-11-07T09:38:11,JORTRI,2022-11-07T09:38:11,JORTRI
126,1,7,25,8.3,2022-11-07T09:38:11,JORTRI,2022-11-07T09:38:11,JORTRI
145,1,10,10,23,2022-11-15T06:59:21,JORTRI,2022-11-15T06:59:21,JORTRI
146,1,10,6,10.3,2022-11-15T07:01:24,JORTRI,2022-11-15T07:01:24,JORTRI
205,1,13,10,19.1,2022-12-05T13:03:26,JORTRI,2022-12-05T13:03:26,JORTRI
209,1,13,22,10.6,2022-12-05T13:05:50,JORTRI,2022-12-05T13:05:50,JORTRI
210,1,13,5,10,2022-12-05T13:05:50,JORTRI,2022-12-05T13:05:50,JORTRI
213,1,13,9,10.2,2022-12-05T13:08:04,JORTRI,2022-12-05T13:08:04,JORTRI
